SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE
true,61,93,255,0,410,0.41000000000000003,"20476fec1cc5e5ea5e70b552572c988a5eb9007a
","https://github.com/sewenthy/petgraph/commit/20476fec1cc5e5ea5e70b552572c988a5eb9007a
",,petgraph,ext1-expr-active,20114,89,27
true,49,57,802,0,910,0.91,"4886074fe89d76217a7d7d91928f60bdf9428608
","https://github.com/sewenthy/gitoxide/commit/4886074fe89d76217a7d7d91928f60bdf9428608
",,gitoxide,ext1-expr-active,9131,56,9
true,89,102,1067,1,1259,1.2590000000000001,"00ef826ee9bea0cb86ca76d921e7fe2660a050b5
","https://github.com/sewenthy/gitoxide/commit/00ef826ee9bea0cb86ca76d921e7fe2660a050b5
",,gitoxide,ext2-expr-active,771,109,53
true,83,112,556,0,752,0.752,"0bb413e867e9b7db2a3da6f510b5f45135c49229
","https://github.com/sewenthy/gitoxide/commit/0bb413e867e9b7db2a3da6f510b5f45135c49229
",,gitoxide,ext3-expr-active,800,178,19
true,59,62,410,0,532,0.532,"ce494f1979389d64c4076f5ba6e66d99f667f7d8
","https://github.com/sewenthy/gitoxide/commit/ce494f1979389d64c4076f5ba6e66d99f667f7d8
",,gitoxide,ext-com1-expr-active,574,84,47
true,59,83,1127,1,1270,1.27,"0cc1ee26652a7a657792516054fb0c46e3c5524f
","https://github.com/sewenthy/gitoxide/commit/0cc1ee26652a7a657792516054fb0c46e3c5524f
",,gitoxide,ext-com2-expr-active,6761,192,73
true,58,91,791,1,940,0.9400000000000001,"86104da9ecfd08cc9aef7baf4f3c933a99d4e83b
","https://github.com/sewenthy/gitoxide/commit/86104da9ecfd08cc9aef7baf4f3c933a99d4e83b
",,gitoxide,inline-ext1-expr-active,375,86,32
true,86,76,2256,3,2418,2.418,"5eb6b726c62638b007311f87ed4a25bca3f322ce
","https://github.com/sewenthy/gitoxide/commit/5eb6b726c62638b007311f87ed4a25bca3f322ce
",,gitoxide,inline-ext2-expr-active,3759,122,60
false,91,84,1051,1,1226,1.226,"6e567e0ef52cc8e4cbca5ae57f1b53d71ca193b0
","https://github.com/sewenthy/gitoxide/commit/6e567e0ef52cc8e4cbca5ae57f1b53d71ca193b0
",cargo,gitoxide,inline-ext3-expr-active,20211,216,121
true,91,89,545,0,725,0.725,"f5940b4a0d4cb1f079959162cdcd733d508aed21
","https://github.com/sewenthy/gitoxide/commit/f5940b4a0d4cb1f079959162cdcd733d508aed21
",,gitoxide,inline-ext4-expr-active,630,154,52
true,81,87,574,0,743,0.743,"c8e876202f3e6d54a3cc3707091acbc94b31f26d
","https://github.com/sewenthy/gitoxide/commit/c8e876202f3e6d54a3cc3707091acbc94b31f26d
",,gitoxide,inline-ext5-expr-active,625,149,49
true,64,61,589,0,715,0.715,"79b684b9890eb11fe66c2c9a1f4676705a5127c2
","https://github.com/sewenthy/gitoxide/commit/79b684b9890eb11fe66c2c9a1f4676705a5127c2
",,gitoxide,inline-ext6-expr-active,1428,143,144
true,56,63,507,0,627,0.627,"48a0dbda3998d1b67dff2773f565db166a542a43
","https://github.com/sewenthy/gitoxide/commit/48a0dbda3998d1b67dff2773f565db166a542a43
",,gitoxide,inline-ext7-expr-active,1026,72,43
true,112,121,689,0,922,0.922,"0bf2b841efa470b73ae899b36f8b1d3bd8b7d72d
","https://github.com/sewenthy/kickoff/commit/0bf2b841efa470b73ae899b36f8b1d3bd8b7d72d
",,kickoff,inline-ext1-expr-active,1502,324,56
true,113,133,971,0,1218,1.218,"3d31ab808945f3ddfe61bf6f4969dad344735c5c
","https://github.com/sewenthy/sniffnet/commit/3d31ab808945f3ddfe61bf6f4969dad344735c5c
",,sniffnet,inline-ext1-expr-active,7283,352,72
false,85,122,642,1,849,0.849,"8a7c2958501dc2e518327e5905932f16bdca05d8
","https://github.com/sewenthy/sniffnet/commit/8a7c2958501dc2e518327e5905932f16bdca05d8
",cargo,sniffnet,inline-ext2-expr-active,7304,179,182
true,52,66,923,0,1041,1.041,"589d2ea2caf4e1ba7ef4ae25bc9d353e610943c9
","https://github.com/sewenthy/beerus/commit/589d2ea2caf4e1ba7ef4ae25bc9d353e610943c9
",,beerus,ext-com1-expr-active,302,63,27
