SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,NOTES
true,55,77,284,0,416,0.41600000000000004,"1354df19ab4b7078e86cfdf816c4a6ca54843d80
","https://github.com/sewenthy/petgraph/commit/1354df19ab4b7078e86cfdf816c4a6ca54843d80
",,petgraph,ext1-expr-active,20114,89,27,2,[],within impl
true,67,112,865,0,1045,1.045,"dee47513c6e02148624db9cfa5578ce094d5ace9
","https://github.com/sewenthy/petgraph/commit/dee47513c6e02148624db9cfa5578ce094d5ace9
",,petgraph,ext2-expr-active,20115,921,20,3,[],"new impl with generics annotated + invoc using self.bar, RA failed re-declared same generics"
true,101,113,1374,1,1589,1.589,"7b691fd3aeae8abeb22962f3e9238a7c4c071399
","https://github.com/sewenthy/petgraph/commit/7b691fd3aeae8abeb22962f3e9238a7c4c071399
",,petgraph,ext3-expr-active,20115,921,8,2,"[""non_elidible_lifetimes""]","new impl + invoc using self.bar + lt bound needed between genrics and output, RA failed no lt annotations, IJ no annotations"
true,78,83,1512,0,1674,1.674,"68c32e4ccb0a94541685f8c827f1fa905d1b8c90
","https://github.com/sewenthy/petgraph/commit/68c32e4ccb0a94541685f8c827f1fa905d1b8c90
",,petgraph,ext4-expr-active,20113,264,54,4,"[""immutable_borrow""]","RA tried to re-declare same generics again--failed, IJ got by on elided lt"
true,75,74,738,0,888,0.888,"b3f46655ce3362378677fd54eea67d7c30d296bd
","https://github.com/sewenthy/petgraph/commit/b3f46655ce3362378677fd54eea67d7c30d296bd
",,petgraph,ext5-expr-active,20113,55,122,2,"[""immutable_borrow"",""mutable_borrow""]",RA did not declare generics
true,92,104,831,0,1028,1.028,"f27ecc74a032b34354460922066f1299413f6833
","https://github.com/sewenthy/petgraph/commit/f27ecc74a032b34354460922066f1299413f6833
",,petgraph,ext6-expr-active,20113,815,22,2,"[""immutable_borrow""]",has self so smart not elide
false,50,53,412,1,517,0.517,"c68af668befcd210f8c17870521d536869d8bea7
","https://github.com/sewenthy/petgraph/commit/c68af668befcd210f8c17870521d536869d8bea7
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,4,"[""immutable_borrow"",""non_elidible_lifetimes""]","failed due to type inference on generics, RA & IJ also failed generics inferences"
true,74,49,767,0,891,0.891,"7f1f520197f5b8cfdeb8472af7d67c6e03301bf2
","https://github.com/sewenthy/gitoxide/commit/7f1f520197f5b8cfdeb8472af7d67c6e03301bf2
",,gitoxide,ext1-expr-active,9131,56,9,1,[],
true,76,76,1108,1,1261,1.2610000000000001,"fc46163f049bad1fc9cb58c2eb7cf6ec2c4278ea
","https://github.com/sewenthy/gitoxide/commit/fc46163f049bad1fc9cb58c2eb7cf6ec2c4278ea
",,gitoxide,ext2-expr-active,771,109,53,6,"[""non_local_return"",""non_elidible_lifetimes""]",complex lifetime + bounds + nlcf--used in paper
true,76,80,518,0,675,0.675,"5ff8bd238baf3c89f697feb580551af66f439072
","https://github.com/sewenthy/gitoxide/commit/5ff8bd238baf3c89f697feb580551af66f439072
",,gitoxide,ext3-expr-active,800,178,19,1,[],"extracted within impl + invoc Self::bar, has question ?, RA will also failed even after helping with import"
