SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,NOTES
true,46,78,241,0,365,0.365,"408f8207c58c0228960ec63521a0f5e9633ca281
","https://github.com/sewenthy/petgraph/commit/408f8207c58c0228960ec63521a0f5e9633ca281
",,petgraph,ext1-expr-active,20114,89,27,2,[],within impl
true,98,83,811,0,992,0.992,"702a78b97702ec8a110803113ea9048c6851f8f7
","https://github.com/sewenthy/petgraph/commit/702a78b97702ec8a110803113ea9048c6851f8f7
",,petgraph,ext2-expr-active,20115,921,20,3,[],new impl with generics annotated + invoc using self.bar
true,96,110,1366,1,1574,1.574,"4da831181985afac9b35fdf59b1a20b79e5cec13
","https://github.com/sewenthy/petgraph/commit/4da831181985afac9b35fdf59b1a20b79e5cec13
",,petgraph,ext3-expr-active,20115,921,8,2,"[""non_elidible_lifetimes""]",new impl + invoc using self.bar + lt bound needed between genrics and output
true,46,81,1574,0,1702,1.702,"8faa4aa0ccd26546a8d3c0ee8012bd56e46d1c98
","https://github.com/sewenthy/petgraph/commit/8faa4aa0ccd26546a8d3c0ee8012bd56e46d1c98
",,petgraph,ext4-expr-active,20113,264,54,4,"[""immutable_borrow""]",
true,53,45,728,0,827,0.8270000000000001,"d12f4622e0ae15a82a0b0d156245b88cb88a4232
","https://github.com/sewenthy/petgraph/commit/d12f4622e0ae15a82a0b0d156245b88cb88a4232
",,petgraph,ext5-expr-active,20113,55,122,2,"[""immutable_borrow"",""mutable_borrow""]",
true,94,103,857,0,1055,1.055,"add5bcf599c025382f2cf500ffdd04d28516cb5f
","https://github.com/sewenthy/petgraph/commit/add5bcf599c025382f2cf500ffdd04d28516cb5f
",,petgraph,ext6-expr-active,20113,815,22,2,"[""immutable_borrow""]",has self so smart not elide
false,50,83,380,1,513,0.513,"109a447c3599a9ff34bec0ad6c7295cd509c6f49
","https://github.com/sewenthy/petgraph/commit/109a447c3599a9ff34bec0ad6c7295cd509c6f49
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,4,"[""immutable_borrow"",""non_elidible_lifetimes""]",failed due to type inference on generics
true,73,43,780,0,897,0.897,"af336ded48b1bbb89cd1afd6601b3c00a9e98697
","https://github.com/sewenthy/gitoxide/commit/af336ded48b1bbb89cd1afd6601b3c00a9e98697
",,gitoxide,ext1-expr-active,9131,56,9,1,[],
true,70,56,1036,1,1164,1.164,"2cc49a66e451d518e5e2edab085750a2db61c1f8
","https://github.com/sewenthy/gitoxide/commit/2cc49a66e451d518e5e2edab085750a2db61c1f8
",,gitoxide,ext2-expr-active,771,109,53,6,"[""non_local_return"",""non_elidible_lifetimes""]",complex lifetime + bounds + nlcf--used in paper
true,76,68,453,0,597,0.597,"132a8f265e4f64442482f6fb99f1ef31db05d255
","https://github.com/sewenthy/gitoxide/commit/132a8f265e4f64442482f6fb99f1ef31db05d255
",,gitoxide,ext3-expr-active,800,178,19,1,[],extracted within impl + invoc Self::bar
