SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE
true,80,90,276,0,448,0.448,"d4fc39c56ac9d673d4636035bd59729c9e1a61d6
","https://github.com/sewenthy/petgraph/commit/d4fc39c56ac9d673d4636035bd59729c9e1a61d6
",,petgraph,ext1-expr-active,20114,89,27
true,57,55,720,0,832,0.8320000000000001,"0571c45c50ba4b7045111cad10024207aeb83749
","https://github.com/sewenthy/gitoxide/commit/0571c45c50ba4b7045111cad10024207aeb83749
",,gitoxide,ext1-expr-active,9131,56,9
true,93,106,1213,1,1413,1.413,"acb2f89e5afd3abca9dab0c157f4455460907674
","https://github.com/sewenthy/gitoxide/commit/acb2f89e5afd3abca9dab0c157f4455460907674
",,gitoxide,ext2-expr-active,771,109,53
true,98,98,625,0,822,0.8220000000000001,"371ddb8dfa796d2c1bae6b09ff7b3b65f58bf69b
","https://github.com/sewenthy/gitoxide/commit/371ddb8dfa796d2c1bae6b09ff7b3b65f58bf69b
",,gitoxide,ext-com1-expr-active,574,84,47
true,67,112,1152,1,1332,1.332,"fbc9f37ad5213705b1c37be546209688d21517d4
","https://github.com/sewenthy/gitoxide/commit/fbc9f37ad5213705b1c37be546209688d21517d4
",,gitoxide,ext-com2-expr-active,6761,192,73
true,84,99,872,1,1056,1.056,"1d6de393e449de3c98ba1749211497245916450e
","https://github.com/sewenthy/gitoxide/commit/1d6de393e449de3c98ba1749211497245916450e
",,gitoxide,inline-ext1-expr-active,375,86,32
true,67,125,2351,3,2544,2.544,"e1f64f0c5e39d2399d2087b1a840bcea928f3267
","https://github.com/sewenthy/gitoxide/commit/e1f64f0c5e39d2399d2087b1a840bcea928f3267
",,gitoxide,inline-ext2-expr-active,3759,122,60
false,107,114,1043,1,1265,1.2650000000000001,"8e430ef8ce9124cf7fed00de07b941b2748dda2b
","https://github.com/sewenthy/gitoxide/commit/8e430ef8ce9124cf7fed00de07b941b2748dda2b
",cargo,gitoxide,inline-ext3-expr-active,20211,216,121
true,51,103,560,0,714,0.714,"8db66dcd7f9ad60d45c7b685b3f1cb9ed0e5bb61
","https://github.com/sewenthy/gitoxide/commit/8db66dcd7f9ad60d45c7b685b3f1cb9ed0e5bb61
",,gitoxide,inline-ext4-expr-active,630,154,52
true,88,88,534,0,711,0.711,"74e228a8ddcb876d4a78a75f0194e105cfef1d79
","https://github.com/sewenthy/gitoxide/commit/74e228a8ddcb876d4a78a75f0194e105cfef1d79
",,gitoxide,inline-ext5-expr-active,625,149,49
true,94,86,575,0,755,0.755,"a18f1b70471720df7641f41b91b8ed543b8642f5
","https://github.com/sewenthy/gitoxide/commit/a18f1b70471720df7641f41b91b8ed543b8642f5
",,gitoxide,inline-ext6-expr-active,1428,143,144
true,56,71,514,0,642,0.642,"26313b0b57a7550b5d868028b9cdc5d9493f57b8
","https://github.com/sewenthy/gitoxide/commit/26313b0b57a7550b5d868028b9cdc5d9493f57b8
",,gitoxide,inline-ext7-expr-active,1026,72,43
true,85,130,711,0,926,0.926,"6f1b1761d35282b3416973aad3e0f3ab0439e42d
","https://github.com/sewenthy/kickoff/commit/6f1b1761d35282b3416973aad3e0f3ab0439e42d
",,kickoff,inline-ext1-expr-active,1502,324,56
true,65,109,908,0,1083,1.083,"1545f5a9399c5863fdd0d273b576da57c7f706be
","https://github.com/sewenthy/sniffnet/commit/1545f5a9399c5863fdd0d273b576da57c7f706be
",,sniffnet,inline-ext1-expr-active,7283,352,72
false,97,124,607,1,828,0.8280000000000001,"61a25cb299e8de2de7495df131f33eebab4f8438
","https://github.com/sewenthy/sniffnet/commit/61a25cb299e8de2de7495df131f33eebab4f8438
",cargo,sniffnet,inline-ext2-expr-active,7304,179,182
true,80,76,900,0,1056,1.056,"6a2c8fe31f7db1ee89dbb6aea74bbad1cda11ebc
","https://github.com/sewenthy/beerus/commit/6a2c8fe31f7db1ee89dbb6aea74bbad1cda11ebc
",,beerus,ext-com1-expr-active,302,63,27
