SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,NOTES
true,140,130,471,0,742,0.742,"b9f44fde75d29f9a129924372865c8b9315e61f0
","https://github.com/sewenthy/petgraph/commit/b9f44fde75d29f9a129924372865c8b9315e61f0
",,petgraph,ext1-expr-active,20114,89,27,2,[],within impl
true,130,154,1361,0,1646,1.6460000000000001,"e976281b0ea227174f48e57d2b6f3ee8a5f1d800
","https://github.com/sewenthy/petgraph/commit/e976281b0ea227174f48e57d2b6f3ee8a5f1d800
",,petgraph,ext2-expr-active,20115,921,20,3,[],new impl with generics annotated + invoc using self.bar
true,140,146,1993,1,2280,2.2800000000000002,"978dbe02bbfaba5074608c3185cea197e28ca1bf
","https://github.com/sewenthy/petgraph/commit/978dbe02bbfaba5074608c3185cea197e28ca1bf
",,petgraph,ext3-expr-active,20115,921,8,2,"[""non_elidible_lifetimes""]",new impl + invoc using self.bar + lt bound needed between genrics and output
true,96,98,2317,0,2512,2.512,"be54d5e260063526030f9989cb2c3cc56500c7bc
","https://github.com/sewenthy/petgraph/commit/be54d5e260063526030f9989cb2c3cc56500c7bc
",,petgraph,ext4-expr-active,20113,264,54,4,"[""immutable_borrow""]",
true,84,93,1117,0,1296,1.296,"34ed031452c518e66cb37719a56b8bc6244d2370
","https://github.com/sewenthy/petgraph/commit/34ed031452c518e66cb37719a56b8bc6244d2370
",,petgraph,ext5-expr-active,20113,55,122,2,"[""immutable_borrow"",""mutable_borrow""]",
true,120,117,1258,0,1496,1.496,"db6852da6919e34cff8c5f42f7faf22118dcd085
","https://github.com/sewenthy/petgraph/commit/db6852da6919e34cff8c5f42f7faf22118dcd085
",,petgraph,ext6-expr-active,20113,815,22,2,"[""immutable_borrow""]",has self so smart not elide
false,104,101,599,1,805,0.805,"aad7ae27559ee85e7385c70f97c801bd04e4dd77
","https://github.com/sewenthy/petgraph/commit/aad7ae27559ee85e7385c70f97c801bd04e4dd77
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,4,"[""immutable_borrow"",""non_elidible_lifetimes""]",failed due to type inference on generics
true,75,91,1144,0,1311,1.311,"a36d727a0c25233f161ed1b221f2fe47831e9aab
","https://github.com/sewenthy/gitoxide/commit/a36d727a0c25233f161ed1b221f2fe47831e9aab
",,gitoxide,ext1-expr-active,9131,56,9,1,[],
true,74,95,1605,1,1774,1.774,"23effabecdb14ba4da9fa165b48dbc1fddd8655c
","https://github.com/sewenthy/gitoxide/commit/23effabecdb14ba4da9fa165b48dbc1fddd8655c
",,gitoxide,ext2-expr-active,771,109,53,6,"[""non_local_return"",""non_elidible_lifetimes""]",complex lifetime + bounds + nlcf--used in paper
true,120,91,842,0,1055,1.055,"07ed02f804a6f6e140d2b901616d712ba71576d9
","https://github.com/sewenthy/gitoxide/commit/07ed02f804a6f6e140d2b901616d712ba71576d9
",,gitoxide,ext3-expr-active,800,178,19,1,[],extracted within impl + invoc Self::bar
true,94,77,946,0,1119,1.119,"c93fd3ea1f2aa334ffd6e783a4d3b726bc4fc6dc
","https://github.com/sewenthy/gitoxide/commit/c93fd3ea1f2aa334ffd6e783a4d3b726bc4fc6dc
",,gitoxide,ext4-expr-active,8966,134,18,1,[],extracted within impl + invoc self.bar with non-elidible lifetime
true,114,112,1209,0,1437,1.437,"a6a797cfaf390322e6ee23661868a37ce26dbe96
","https://github.com/sewenthy/gitoxide/commit/a6a797cfaf390322e6ee23661868a37ce26dbe96
",,gitoxide,ext5-expr-active,8966,134,60,1,"[""non_elidible_lifetimes""]",extracted within impl + invoc Self::bar
true,79,103,967,0,1149,1.149,"a13832e07aaa422edf205cbb060ff70e20543c02
","https://github.com/sewenthy/gitoxide/commit/a13832e07aaa422edf205cbb060ff70e20543c02
",,gitoxide,ext6-expr-active,8966,134,15,0,[],within closure
