SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NOTES
true,86,109,372,0,568,0.5680000000000001,"1b57e17ad0d2233ea30876cc9a77bb9f6570c8ab
","https://github.com/sewenthy/petgraph/commit/1b57e17ad0d2233ea30876cc9a77bb9f6570c8ab
",,petgraph,ext1-expr-active,20114,89,27,within impl
true,172,276,1427,0,1876,1.8760000000000001,"975051b1c7a331658411939e9666b540afafc7d2
","https://github.com/sewenthy/petgraph/commit/975051b1c7a331658411939e9666b540afafc7d2
",,petgraph,ext2-expr-active,20115,921,20,new impl with generics annotated + invoc using self.bar
true,187,275,2145,1,2608,2.608,"54acf139acfa89bcb8efe4aeb3063c4e033e400a
","https://github.com/sewenthy/petgraph/commit/54acf139acfa89bcb8efe4aeb3063c4e033e400a
",,petgraph,ext3-expr-active,20115,921,8,new impl + invoc using self.bar + lt bound needed between genrics and output
true,124,121,2311,0,2557,2.557,"13a18f371135d873e7da0354cf7630950e2577f3
","https://github.com/sewenthy/petgraph/commit/13a18f371135d873e7da0354cf7630950e2577f3
",,petgraph,ext4-expr-active,20113,264,54,
true,106,121,1074,0,1302,1.302,"0996ec3994348626f3bfc200eed4b20eb801403f
","https://github.com/sewenthy/petgraph/commit/0996ec3994348626f3bfc200eed4b20eb801403f
",,petgraph,ext5-expr-active,20113,55,122,
true,190,217,1309,0,1718,1.718,"b980d8dfba4ff2e7ad8e599a042166ad8e4cb58a
","https://github.com/sewenthy/petgraph/commit/b980d8dfba4ff2e7ad8e599a042166ad8e4cb58a
",,petgraph,ext6-expr-active,20113,815,22,has self so smart not elide
false,135,181,551,1,868,0.868,"914c991b5706c4a67b2f04abe553ac83c51980b5
","https://github.com/sewenthy/petgraph/commit/914c991b5706c4a67b2f04abe553ac83c51980b5
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,failed due to type inference on generics
true,74,103,1087,0,1265,1.2650000000000001,"23783243b4d6b07482096738df704efb8e20a5d9
","https://github.com/sewenthy/gitoxide/commit/23783243b4d6b07482096738df704efb8e20a5d9
",,gitoxide,ext1-expr-active,9131,56,9,
true,117,110,1514,1,1742,1.742,"0a509662fd2ec5dcb94244f3f5b5ca1f65c39827
","https://github.com/sewenthy/gitoxide/commit/0a509662fd2ec5dcb94244f3f5b5ca1f65c39827
",,gitoxide,ext2-expr-active,771,109,53,complex lifetime + bounds + nlcf--used in paper
true,104,140,768,0,1013,1.0130000000000001,"ac48117217cfd60bfc3388f210b7964e8ee8315b
","https://github.com/sewenthy/gitoxide/commit/ac48117217cfd60bfc3388f210b7964e8ee8315b
",,gitoxide,ext3-expr-active,800,178,19,extracted within impl + invoc Self::bar
true,90,113,930,0,1134,1.1340000000000001,"fbd9dd2eb857e987086f87c78f69806976e860b9
","https://github.com/sewenthy/gitoxide/commit/fbd9dd2eb857e987086f87c78f69806976e860b9
",,gitoxide,ext4-expr-active,8966,134,18,extracted within impl + invoc self.bar with non-elidible lifetime
true,99,121,976,0,1197,1.197,"d3a5d3a6721f85d7e13042dc59913df993987574
","https://github.com/sewenthy/gitoxide/commit/d3a5d3a6721f85d7e13042dc59913df993987574
",,gitoxide,ext5-expr-active,8966,134,60,extracted within impl + invoc Self::bar
true,109,132,943,0,1186,1.186,"79900b65d7c6a44fba03ac3915476488eca0e1e9
","https://github.com/sewenthy/gitoxide/commit/79900b65d7c6a44fba03ac3915476488eca0e1e9
",,gitoxide,ext6-expr-active,8966,134,15,within closure
true,107,100,745,0,953,0.9530000000000001,"4562fe96fb9d2f41d08b4649e3ab9770397b3f79
","https://github.com/sewenthy/gitoxide/commit/4562fe96fb9d2f41d08b4649e3ab9770397b3f79
",,gitoxide,ext7-expr-active,1027,73,31,loop
true,98,129,794,0,1023,1.0230000000000001,"067aac4115250bb1674ced93803709baea0a5e65
","https://github.com/sewenthy/gitoxide/commit/067aac4115250bb1674ced93803709baea0a5e65
",,gitoxide,ext8-expr-active,1026,121,41,some unrelated syntax feature |
