SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE
true,88,85,306,0,480,0.48,"6bd198c640fe63d65b53ff333f1cb6c22e169bb2
","https://github.com/sewenthy/petgraph/commit/6bd198c640fe63d65b53ff333f1cb6c22e169bb2
",,petgraph,ext1-expr-active,20114,89,23
true,48,51,788,0,888,0.888,"7bd107334d080b31a19375e92b07663387dc9b0a
","https://github.com/sewenthy/gitoxide/commit/7bd107334d080b31a19375e92b07663387dc9b0a
",,gitoxide,ext1-expr-active,9131,56,6
true,64,118,1116,1,1299,1.299,"2c77bac006abf6677a610b483ab39f57b24f9fe8
","https://github.com/sewenthy/gitoxide/commit/2c77bac006abf6677a610b483ab39f57b24f9fe8
",,gitoxide,ext2-expr-active,771,109,36
true,83,62,466,0,612,0.612,"da9bb643b516c7ebe4425e7032e6b2a861e1265d
","https://github.com/sewenthy/gitoxide/commit/da9bb643b516c7ebe4425e7032e6b2a861e1265d
",,gitoxide,ext-com1-expr-active,574,84,43
true,114,136,1102,1,1354,1.354,"a54024d869585be8a50159ebda4277ae8a447223
","https://github.com/sewenthy/gitoxide/commit/a54024d869585be8a50159ebda4277ae8a447223
",,gitoxide,ext-com2-expr-active,6761,192,66
true,64,55,872,1,992,0.992,"42e03741d45fd6377818252d144d47491ba8f84f
","https://github.com/sewenthy/gitoxide/commit/42e03741d45fd6377818252d144d47491ba8f84f
",,gitoxide,inline-ext1-expr-active,375,86,29
true,89,98,2467,3,2656,2.656,"7273d7ef1b0eece49856e70f30ba60e980e11e2c
","https://github.com/sewenthy/gitoxide/commit/7273d7ef1b0eece49856e70f30ba60e980e11e2c
",,gitoxide,inline-ext2-expr-active,3759,122,55
false,112,112,1150,1,1374,1.374,"85a13553beb1b72f4fad0d80ce0cfde0dede26e3
","https://github.com/sewenthy/gitoxide/commit/85a13553beb1b72f4fad0d80ce0cfde0dede26e3
",cargo,gitoxide,inline-ext3-expr-active,20211,216,117
true,53,60,510,0,623,0.623,"645199e6879116c7d63a97293bd482a65ab00d5e
","https://github.com/sewenthy/gitoxide/commit/645199e6879116c7d63a97293bd482a65ab00d5e
",,gitoxide,inline-ext4-expr-active,630,154,51
true,93,116,577,0,788,0.788,"ced1b9fa0b47ebfc611c3973b924ffab25afdfd1
","https://github.com/sewenthy/gitoxide/commit/ced1b9fa0b47ebfc611c3973b924ffab25afdfd1
",,gitoxide,inline-ext5-expr-active,625,149,46
true,82,107,625,0,815,0.8150000000000001,"4806c355416096d85983db578e1e7d2c7a02e7d2
","https://github.com/sewenthy/gitoxide/commit/4806c355416096d85983db578e1e7d2c7a02e7d2
",,gitoxide,inline-ext6-expr-active,1428,143,140
true,84,66,543,0,693,0.6930000000000001,"b7887a1e02d9dc31446ef5a0c118099d7be8ca7e
","https://github.com/sewenthy/gitoxide/commit/b7887a1e02d9dc31446ef5a0c118099d7be8ca7e
",,gitoxide,inline-ext7-expr-active,1026,72,40
true,86,101,661,0,849,0.849,"b41099b42e5aedfff77bc18a5ef19c47155fc0dd
","https://github.com/sewenthy/kickoff/commit/b41099b42e5aedfff77bc18a5ef19c47155fc0dd
",,kickoff,inline-ext1-expr-active,1502,324,53
true,94,101,881,0,1077,1.077,"53851a3bfb0d980007103a4862af4c9a07cff539
","https://github.com/sewenthy/sniffnet/commit/53851a3bfb0d980007103a4862af4c9a07cff539
",,sniffnet,inline-ext1-expr-active,7283,352,65
false,84,117,633,1,835,0.835,"a9eb8c91fe1432077f444e9056ee78eed2235797
","https://github.com/sewenthy/sniffnet/commit/a9eb8c91fe1432077f444e9056ee78eed2235797
",cargo,sniffnet,inline-ext2-expr-active,7304,179,167
true,64,81,936,0,1082,1.082,"6e5e79cd65fcceb230c55756297d09032aa338bf
","https://github.com/sewenthy/beerus/commit/6e5e79cd65fcceb230c55756297d09032aa338bf
",,beerus,ext-com1-expr-active,302,63,24
