SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE
true,75,82,324,0,482,0.482,"8c146b5ba6cbeb9a01b1713a0deed27d03e1ebe5
","https://github.com/sewenthy/petgraph/commit/8c146b5ba6cbeb9a01b1713a0deed27d03e1ebe5
",,petgraph,ext1-expr-active,20114,89,27
true,76,85,797,0,959,0.9590000000000001,"86d46e5f38e94d0419c11093f7d19df77f17c7f9
","https://github.com/sewenthy/gitoxide/commit/86d46e5f38e94d0419c11093f7d19df77f17c7f9
",,gitoxide,ext1-expr-active,9131,56,9
true,95,67,1169,1,1332,1.332,"7cc365512175c23ae8a0467cbf8c46111a6fdf5f
","https://github.com/sewenthy/gitoxide/commit/7cc365512175c23ae8a0467cbf8c46111a6fdf5f
",,gitoxide,ext2-expr-active,771,109,53
true,67,91,462,0,621,0.621,"c4a1cb2832151f1db2ef7b8fa11b140ac143b434
","https://github.com/sewenthy/gitoxide/commit/c4a1cb2832151f1db2ef7b8fa11b140ac143b434
",,gitoxide,ext-com1-expr-active,574,84,47
true,73,75,1126,1,1276,1.276,"5bf2e396e3dbbdcdfd31f3824bdfcb776104027e
","https://github.com/sewenthy/gitoxide/commit/5bf2e396e3dbbdcdfd31f3824bdfcb776104027e
",,gitoxide,ext-com2-expr-active,6761,192,73
true,50,96,841,1,988,0.988,"7a3bb41de413e0fb6b6aabed36ec5e2c0a562ef8
","https://github.com/sewenthy/gitoxide/commit/7a3bb41de413e0fb6b6aabed36ec5e2c0a562ef8
",,gitoxide,inline-ext1-expr-active,375,86,32
true,73,133,2378,3,2585,2.585,"8ec60ea3cef59fd0f9d9cdc3da80fc0cae453b4c
","https://github.com/sewenthy/gitoxide/commit/8ec60ea3cef59fd0f9d9cdc3da80fc0cae453b4c
",,gitoxide,inline-ext2-expr-active,3759,122,60
false,107,120,1049,1,1278,1.278,"45b1771751220845009fa9f3852f54bce495ac59
","https://github.com/sewenthy/gitoxide/commit/45b1771751220845009fa9f3852f54bce495ac59
",cargo,gitoxide,inline-ext3-expr-active,20211,216,121
true,64,113,598,0,775,0.775,"acb066e1f16cd37f3fcc85a3e3e82808f3f4eca7
","https://github.com/sewenthy/gitoxide/commit/acb066e1f16cd37f3fcc85a3e3e82808f3f4eca7
",,gitoxide,inline-ext4-expr-active,630,154,52
true,94,113,605,0,812,0.812,"f81732314c491132ab1ca170da4dec7e52e7d8ae
","https://github.com/sewenthy/gitoxide/commit/f81732314c491132ab1ca170da4dec7e52e7d8ae
",,gitoxide,inline-ext5-expr-active,625,149,49
true,64,77,621,0,764,0.764,"9d33a226587accab3ec61a6ad7604bdd20d03aab
","https://github.com/sewenthy/gitoxide/commit/9d33a226587accab3ec61a6ad7604bdd20d03aab
",,gitoxide,inline-ext6-expr-active,1428,143,144
true,84,66,550,0,700,0.7000000000000001,"6efae3b9af1bcf195bd8029c2798114f2039eb83
","https://github.com/sewenthy/gitoxide/commit/6efae3b9af1bcf195bd8029c2798114f2039eb83
",,gitoxide,inline-ext7-expr-active,1026,72,43
true,101,75,669,0,847,0.847,"fae44ac234e62f54e15bd4eb72f904ce2d344933
","https://github.com/sewenthy/kickoff/commit/fae44ac234e62f54e15bd4eb72f904ce2d344933
",,kickoff,inline-ext1-expr-active,1502,324,56
true,127,149,905,0,1183,1.183,"466fef8c079fab7f0ff0b8916e673a5d4cdad6ad
","https://github.com/sewenthy/sniffnet/commit/466fef8c079fab7f0ff0b8916e673a5d4cdad6ad
",,sniffnet,inline-ext1-expr-active,7283,352,72
false,75,112,630,1,818,0.8180000000000001,"010efc28466a89b8ca8c2fef0cd545848cdef5a7
","https://github.com/sewenthy/sniffnet/commit/010efc28466a89b8ca8c2fef0cd545848cdef5a7
",cargo,sniffnet,inline-ext2-expr-active,7304,179,182
true,74,53,870,0,999,0.999,"b5fe1c775caf333db7ef3d99040a14f502b8b7a2
","https://github.com/sewenthy/beerus/commit/b5fe1c775caf333db7ef3d99040a14f502b8b7a2
",,beerus,ext-com1-expr-active,302,63,27
