SUCCESS,PROJECT,BRANCH,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,INTELLIJ_OLD,RUST_ANALYZER,NOTES
true,gitoxide,inline-ext7-expr-active,58,45,546,0,650,0.65,"9c7eb9407c6045a9f7955a00919e7dbec505c126
","https://github.com/sewenthy/gitoxide/commit/9c7eb9407c6045a9f7955a00919e7dbec505c126
",,1026,72,43,1,"[""immutable_borrow""]",not_ran,not_ran,
true,gitoxide,inline-ext8-expr-active,50,92,515,0,658,0.658,"80f62ef8de5e1b518567f4b4573289889e97dd00
","https://github.com/sewenthy/gitoxide/commit/80f62ef8de5e1b518567f4b4573289889e97dd00
",,1304,368,65,2,"[""immutable_borrow"",""struct_has_lifetime_slot""]",not_ran,not_ran,
true,kickoff,inline-ext1-expr-active,79,85,895,0,1060,1.06,"8fc3463c3ee3f2b3c495d64f89c96d49a25eb6c5
","https://github.com/sewenthy/kickoff/commit/8fc3463c3ee3f2b3c495d64f89c96d49a25eb6c5
",,1502,324,56,2,"[""immutable_borrow"",""mutable_borrow"",""struct_has_lifetime_slot""]",not_ran,not_ran,all elidible lifetimes
true,kickoff,ext1-expr-active,76,78,800,0,955,0.9550000000000001,"d0a8b5e75362323abbc5ebc1cacbe336dbd3ccbf
","https://github.com/sewenthy/kickoff/commit/d0a8b5e75362323abbc5ebc1cacbe336dbd3ccbf
",,1486,123,53,3,"[""non_local_loop""]",not_ran,not_ran,IJ did not do nclf + no deref
true,kickoff,ext2-expr-active,74,57,874,0,1006,1.006,"fcd8e6fb8b9ef87a48244f73989f1136f47f0d22
","https://github.com/sewenthy/kickoff/commit/fcd8e6fb8b9ef87a48244f73989f1136f47f0d22
",,1487,94,51,2,[],not_ran,not_ran,
true,kickoff,ext3-expr-active,46,76,830,0,952,0.9520000000000001,"a6e192be0ff5faaa378d6743a54cfed169a0ff4e
","https://github.com/sewenthy/kickoff/commit/a6e192be0ff5faaa378d6743a54cfed169a0ff4e
",,1487,124,34,2,[],not_ran,not_ran,
true,kickoff,ext4-expr-active,76,45,664,0,786,0.786,"51aaeea5328f19a5245adaef4a2cd7eb428983a5
","https://github.com/sewenthy/kickoff/commit/51aaeea5328f19a5245adaef4a2cd7eb428983a5
",,1486,123,21,3,"[""immutable_borrow"",""mutable_borrow"",""struct_has_lifetime_slot""]",not_ran,not_ran,IJ failed because of deref
true,sniffnet,inline-ext1-expr-active,78,49,868,0,996,0.996,"446b886747dfe5780ff2f86bebb45dc5914ad2ed
","https://github.com/sewenthy/sniffnet/commit/446b886747dfe5780ff2f86bebb45dc5914ad2ed
",,7283,352,72,3,"[""immutable_borrow""]",not_ran,not_ran,all elidible lifetimes
false,sniffnet,inline-ext2-expr-active,46,79,598,1,724,0.724,"224d0594bbe5f62520d57793a404999fcf2d028d
","https://github.com/sewenthy/sniffnet/commit/224d0594bbe5f62520d57793a404999fcf2d028d
",cargo,7304,179,182,6,"[""immutable_borrow"",""non_elidible_lifetimes""]",not_ran,not_ran,"technial; need to introduce A{x=*x} if taken x as reference and init struct, IJ failed borrowing, RA figured out Copy"
true,sniffnet,ext1-expr-active,43,45,833,0,922,0.922,"82e16115d18fe770a4abce3875487775d88e80e3
","https://github.com/sewenthy/sniffnet/commit/82e16115d18fe770a4abce3875487775d88e80e3
",,7269,67,53,3,"[""immutable_borrow"",""mutable_borrow"",""struct_has_lifetime_slot""]",not_ran,not_ran,
true,sniffnet,ext2-expr-active,66,76,819,0,962,0.962,"64d7c9c146d8d5efda5b25a6edd79dcbe64af5f0
","https://github.com/sewenthy/sniffnet/commit/64d7c9c146d8d5efda5b25a6edd79dcbe64af5f0
",,7269,98,98,4,"[""mutable_borrow"",""struct_has_lifetime_slot""]",not_ran,not_ran,path-ed receiver
true,sniffnet,ext3-expr-active,76,77,813,0,968,0.968,"7e742bc4643034857bf1ef99d01f3fae0a47e439
","https://github.com/sewenthy/sniffnet/commit/7e742bc4643034857bf1ef99d01f3fae0a47e439
",,7269,189,28,2,[],not_ran,not_ran,
true,sniffnet,ext4-expr-active,46,77,873,0,997,0.997,"80542f3bc0c38e4246398d25bcb01634c69b647c
","https://github.com/sewenthy/sniffnet/commit/80542f3bc0c38e4246398d25bcb01634c69b647c
",,7270,190,66,2,"[""immutable_borrow""]",not_ran,not_ran,
true,sniffnet,ext5-expr-active,60,57,865,0,983,0.983,"ef47e1a03702a5675a0b4c2820a5f52c200a3725
","https://github.com/sewenthy/sniffnet/commit/ef47e1a03702a5675a0b4c2820a5f52c200a3725
",,7269,339,47,5,[],not_ran,not_ran,lots of references but all elidible
true,sniffnet,ext6-expr-active,76,77,841,0,995,0.995,"b8c343ee36c107501f90d69ab230182a0b103261
","https://github.com/sewenthy/sniffnet/commit/b8c343ee36c107501f90d69ab230182a0b103261
",,7269,339,25,2,"[""mutable_borrow""]",not_ran,not_ran,IJ failed no de-ref
true,sniffnet,ext7-expr-active,80,56,878,0,1016,1.016,"c498cff35f398d3c7b432cd8bb973e78770af229
","https://github.com/sewenthy/sniffnet/commit/c498cff35f398d3c7b432cd8bb973e78770af229
",,7270,340,84,1,[],not_ran,not_ran,
true,beerus,ext-com1-expr-active,72,63,846,0,983,0.983,"b72e023108ae13d6d032d49feef500d0bcef5ce9
","https://github.com/sewenthy/beerus/commit/b72e023108ae13d6d032d49feef500d0bcef5ce9
",,302,63,27,0,[],not_ran,not_ran,small use of async
