SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE
true,55,79,238,0,373,0.373,"834e108a4b860e0fa772c584fce2b8d7ab735945
","https://github.com/sewenthy/petgraph/commit/834e108a4b860e0fa772c584fce2b8d7ab735945
",,petgraph,ext1-expr-active,20114,89,27
true,103,214,1035,0,1353,1.353,"1fcac583f756c907184117faf67dd2ef4dca83c2
","https://github.com/sewenthy/petgraph/commit/1fcac583f756c907184117faf67dd2ef4dca83c2
",,petgraph,ext2-expr-active,20115,921,20
true,51,60,810,0,922,0.922,"a27c8f85d73116fe8b2daa8df78f97a7517a9e3e
","https://github.com/sewenthy/gitoxide/commit/a27c8f85d73116fe8b2daa8df78f97a7517a9e3e
",,gitoxide,ext1-expr-active,9131,56,9
true,83,55,1180,1,1319,1.319,"5cf967f47deb28581ec5b4a4f19476bdfac96ead
","https://github.com/sewenthy/gitoxide/commit/5cf967f47deb28581ec5b4a4f19476bdfac96ead
",,gitoxide,ext2-expr-active,771,109,53
true,87,65,554,0,707,0.707,"5acf3fb09fc9454453df1149758f4146f6aba444
","https://github.com/sewenthy/gitoxide/commit/5acf3fb09fc9454453df1149758f4146f6aba444
",,gitoxide,ext3-expr-active,800,178,19
true,56,59,445,0,561,0.561,"08f688c1cedafe30620d51b201f53dc80955f8ec
","https://github.com/sewenthy/gitoxide/commit/08f688c1cedafe30620d51b201f53dc80955f8ec
",,gitoxide,ext-com1-expr-active,574,84,47
true,103,95,1103,1,1302,1.302,"bc6258a081b864c12af9f7dca55271c5fbf5f410
","https://github.com/sewenthy/gitoxide/commit/bc6258a081b864c12af9f7dca55271c5fbf5f410
",,gitoxide,ext-com2-expr-active,6761,192,73
true,49,66,776,1,892,0.892,"da88ec63cb411d0b7e9d7b23c07aaa47527ac6c7
","https://github.com/sewenthy/gitoxide/commit/da88ec63cb411d0b7e9d7b23c07aaa47527ac6c7
",,gitoxide,inline-ext1-expr-active,375,86,32
true,83,128,2332,3,2544,2.544,"05abcea12124782cea6394a2e3397ed659fbfbe9
","https://github.com/sewenthy/gitoxide/commit/05abcea12124782cea6394a2e3397ed659fbfbe9
",,gitoxide,inline-ext2-expr-active,3759,122,60
false,102,82,1057,1,1242,1.242,"527e03007bdb495c7b453e554c723e0d34cd8768
","https://github.com/sewenthy/gitoxide/commit/527e03007bdb495c7b453e554c723e0d34cd8768
",cargo,gitoxide,inline-ext3-expr-active,20211,216,121
true,63,110,477,0,651,0.651,"a5f61a2ab8195b016c72386e8b4f7ccb02512e2c
","https://github.com/sewenthy/gitoxide/commit/a5f61a2ab8195b016c72386e8b4f7ccb02512e2c
",,gitoxide,inline-ext4-expr-active,630,154,52
true,56,109,522,0,689,0.6890000000000001,"e2887b5f6efe2580a9efeb62acacba361b201aae
","https://github.com/sewenthy/gitoxide/commit/e2887b5f6efe2580a9efeb62acacba361b201aae
",,gitoxide,inline-ext5-expr-active,625,149,49
true,52,60,554,0,668,0.668,"f16cc708bd7cf135bf24256e0b0fc6a8450c08f5
","https://github.com/sewenthy/gitoxide/commit/f16cc708bd7cf135bf24256e0b0fc6a8450c08f5
",,gitoxide,inline-ext6-expr-active,1428,143,144
true,54,63,468,0,587,0.587,"c21a22ca06fc98e652ea853fb45f1834356a248c
","https://github.com/sewenthy/gitoxide/commit/c21a22ca06fc98e652ea853fb45f1834356a248c
",,gitoxide,inline-ext7-expr-active,1026,72,43
true,77,116,646,0,840,0.84,"eec4d95a196eb75596be4757f9eaa5dcf7de4bc0
","https://github.com/sewenthy/kickoff/commit/eec4d95a196eb75596be4757f9eaa5dcf7de4bc0
",,kickoff,inline-ext1-expr-active,1502,324,56
true,71,103,935,0,1110,1.11,"8f2a6cc5bba4ae8621f955ae97f51db791d574e7
","https://github.com/sewenthy/sniffnet/commit/8f2a6cc5bba4ae8621f955ae97f51db791d574e7
",,sniffnet,inline-ext1-expr-active,7283,352,72
false,80,119,606,1,806,0.806,"c670106f9fde8e6856d38a1ab6fb18ea5163fcb6
","https://github.com/sewenthy/sniffnet/commit/c670106f9fde8e6856d38a1ab6fb18ea5163fcb6
",cargo,sniffnet,inline-ext2-expr-active,7304,179,182
true,50,71,842,0,965,0.965,"5278e4d38dd832e973813a0a4633147d072dd7ec
","https://github.com/sewenthy/beerus/commit/5278e4d38dd832e973813a0a4633147d072dd7ec
",,beerus,ext-com1-expr-active,302,63,27
