SUCCESS,Project,Type,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NUM_INPUTS,FEATURES,IJ,RA,NOTES,CALLEE_SIZE,FEATURES_JSON,Non elidible lifetimes,Immutable borrow,Struct has lifetime slot,Mutable borrow,Non local return,Non local loop
\cmark,gitoxide,$\circlearrowleft$,46,79,552,0,678,0.678,"48d0b5c5b0a9fb8f06f3de059e922b9dd1204b41
","https://github.com/sewenthy/gitoxide/commit/48d0b5c5b0a9fb8f06f3de059e922b9dd1204b41
",,1026,122,34,1,[],\xmark,\cmark,"some unrelated syntax feature |, IJ bad qualified name",7,[],,,,,,
\cmark,gitoxide,\small{\smiley{}},43,74,423,0,541,0.541,"2cea591fad7dd73827e533de78dd3de961a575b7
","https://github.com/sewenthy/gitoxide/commit/2cea591fad7dd73827e533de78dd3de961a575b7
",,574,84,47,1,"[""non_local_return""]",\xmark,\cmark,nclf,21,['non_local_return'],,,,,\cmark,
\cmark,gitoxide,\small{\smiley{}},77,59,1062,1,1199,1.199,"41a129186aaa8eeec9df5ed25b901e7f2e95fc50
","https://github.com/sewenthy/gitoxide/commit/41a129186aaa8eeec9df5ed25b901e7f2e95fc50
",,6761,214,73,3,"[""immutable_borrow"",""mutable_borrow"",""non_elidible_lifetimes"",""struct_has_lifetime_slot""]",\xmark,\xmark,2 lifetimes usage + good elision,11,"['immutable_borrow', 'mutable_borrow', 'non_elidible_lifetimes', 'struct_has_lifetime_slot']",\cmark,\cmark,\cmark,\cmark,,
\cmark,gitoxide,$\leftrightarrows$,44,47,832,1,924,0.924,"a8f2f28f6ec7bb0495b87410795eba62bf8bac2b
","https://github.com/sewenthy/gitoxide/commit/a8f2f28f6ec7bb0495b87410795eba62bf8bac2b
",,375,94,30,1,"[""non_local_return"",""non_elidible_lifetimes""]",\cmark,\xmark,"nclf + lifetime within traits + some non-elidibles, lt elision works in IJ favor 1 input ref + 1 output ref",27,"['non_local_return', 'non_elidible_lifetimes']",\cmark,,,,\cmark,
\cmark,gitoxide,$\leftrightarrows$,73,84,2166,3,2324,2.324,"dfc1509d531f088cf3630be58189b91d3bc5d140
","https://github.com/sewenthy/gitoxide/commit/dfc1509d531f088cf3630be58189b91d3bc5d140
",,3759,134,60,1,"[""non_elidible_lifetimes"",""struct_has_lifetime_slot""]",\xmark,\xmark,generic has lifetimes + very complex boundings--good to show,55,"['non_elidible_lifetimes', 'struct_has_lifetime_slot']",\cmark,,\cmark,,,
\small{\Stopsign},gitoxide,$\leftrightarrows$,79,79,993,1,1151,1.151,"1f01ee77a0bd81770fe9bf849bcb444551c171b5
","https://github.com/sewenthy/gitoxide/commit/1f01ee77a0bd81770fe9bf849bcb444551c171b5
",cargo,20211,236,116,1,"[""mutable_borrow"",""non_elidible_lifetimes""]",\xmark,\xmark,"failed due to cargo check, RA type inference",6,"['mutable_borrow', 'non_elidible_lifetimes']",\cmark,,,\cmark,,
\cmark,gitoxide,$\leftrightarrows$,57,77,553,0,687,0.687,"200a8c6ffbb279fe1465cb048ee9ba16506183f9
","https://github.com/sewenthy/gitoxide/commit/200a8c6ffbb279fe1465cb048ee9ba16506183f9
",,630,155,50,1,[],\cmark,\cmark,,9,[],,,,,,
\cmark,gitoxide,$\leftrightarrows$,46,78,511,0,635,0.635,"802b69771ce2fbaaf9df530ce3c68fc66e0c0ec0
","https://github.com/sewenthy/gitoxide/commit/802b69771ce2fbaaf9df530ce3c68fc66e0c0ec0
",,625,152,47,1,[],\cmark,\cmark,,6,[],,,,,,
\cmark,gitoxide,$\leftrightarrows$,77,81,545,0,704,0.704,"9ebabb64a8aac31f9d4145df0639704dec471724
","https://github.com/sewenthy/gitoxide/commit/9ebabb64a8aac31f9d4145df0639704dec471724
",,1428,153,132,1,[],\cmark,\cmark,,14,[],,,,,,
\cmark,gitoxide,$\leftrightarrows$,43,75,522,0,641,0.641,"259c568c115228fcf633a032491695c530e2a421
","https://github.com/sewenthy/gitoxide/commit/259c568c115228fcf633a032491695c530e2a421
",,1026,71,38,1,"[""immutable_borrow""]",\cmark,\cmark,,3,['immutable_borrow'],,\cmark,,,,
